Date,Open,High,Low,Close,Adj Close,Volume
2023-12-08,33.709999,34.540001,33.480000,34.490002,34.490002,53290700
2023-12-11,34.459999,34.689999,34.240002,34.360001,34.360001,30613300
2023-12-12,34.549999,34.599998,33.799999,34.080002,34.080002,30371500
2023-12-13,34.209999,34.619999,34.139999,34.570000,34.570000,38992900
2023-12-14,35.000000,35.740002,34.840000,35.320000,35.320000,57950000
2023-12-15,35.279999,35.790001,35.000000,35.400002,35.400002,56570100
2023-12-18,35.750000,36.299999,35.580002,35.840000,35.840000,44474300
2023-12-19,35.959999,36.250000,35.810001,36.250000,36.250000,32183000
2023-12-20,36.369999,36.740002,36.290001,36.380001,36.380001,38947900
2023-12-21,36.669998,36.680000,36.070000,36.389999,36.389999,30511900
2023-12-22,36.500000,36.799999,36.369999,36.740002,36.740002,31234700
2023-12-26,36.860001,37.369999,36.830002,37.330002,37.330002,23466800
2023-12-27,37.320000,37.430000,37.130001,37.360001,37.360001,19588500
2023-12-28,37.230000,37.360001,37.040001,37.240002,37.240002,21421900
2024-01-02,37.439999,37.889999,37.400002,37.779999,37.779999,24043800
2024-01-03,37.799999,39.119999,37.669998,38.959999,38.959999,52300200
2024-01-04,39.119999,39.349998,38.509998,38.630001,38.630001,45344900
2024-01-05,38.869999,39.139999,38.410000,38.720001,38.720001,35783700
2024-01-08,38.380001,38.430000,37.610001,38.430000,38.430000,35158100
2024-01-09,38.669998,38.750000,38.029999,38.099998,38.099998,27279000
2024-01-10,38.099998,38.270000,37.509998,37.750000,37.750000,27382000
2024-01-11,37.980000,38.150002,37.700001,38.070000,38.070000,26564400
2024-01-12,38.500000,38.730000,38.169998,38.169998,38.169998,24479500
2024-01-15,37.990002,38.619999,37.860001,38.580002,38.580002,13818300
2024-01-16,38.610001,38.790001,38.080002,38.099998,38.099998,31277700
2024-01-17,37.970001,38.150002,37.820000,37.880001,37.880001,27577300
2024-01-18,38.139999,38.139999,37.560001,37.730000,37.730000,22987200
2024-01-19,37.810001,37.900002,37.230000,37.529999,37.529999,31745200
2024-01-22,37.500000,37.810001,37.230000,37.700001,37.700001,22753700
